Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population
Afghanistan,-11.1,11.4,22.6,0.49,0.25,41454761.0
Albania,13.4,141.7,128.3,0.1,0.1,2745972.0
Algeria,-1447.1,1014.5,2461.6,0.59,0.29,46164219.0
Andorra,1.5,4.9,3.4,0.1,0.1,80856.0
Angola,-1186.9,682.4,1869.2,0.63,0.32,36749906.0
Anguilla,71.3,72.5,1.2,0.1,0.1,
Antigua and Barbuda,550.0,573.8,23.8,0.1,0.1,93316.0
Argentina,2078.8,9171.0,7092.2,0.1,0.1,45538401.0
Armenia,39.2,160.8,121.6,0.1,0.1,2990900.0
Aruba,714.8,725.5,10.7,0.1,0.1,107359.0
Australia,17907.8,34593.3,16685.5,0.1,0.1,26658948.0
Azerbaijan,97.3,255.1,157.8,0.1,0.1,10153958.0
Bahamas,3847.4,5639.7,1792.4,0.1,0.1,399440.0
Bahrain,441.9,1646.2,1204.3,0.1,0.1,1577059.0
Bangladesh,-6151.8,2214.0,8365.8,0.74,0.37,171466990.0
Barbados,724.0,772.6,48.6,0.1,0.1,282336.0
Belarus,-9.4,10.6,20.0,0.47,0.24,9178298.0
Belize,509.3,590.4,81.1,0.1,0.1,411106.0
Benin,167.8,216.4,48.6,0.1,0.1,14111034.0
Bermuda,517.1,540.4,23.3,0.1,0.1,64698.0
Bhutan,0.1,3.4,3.3,0.1,0.1,780914.0
Bolivia,-103.1,401.0,504.1,0.2,0.1,12244159.0
Bosnia and Herzegovina,-126.1,53.0,179.1,0.7,0.35,3185073.0
Botswana,-300.8,104.3,405.1,0.74,0.37,2480244.0
Brazil,7350.7,49667.0,42316.3,0.1,0.1,211140729.0
British Indian Ocean Territories,5.0,5.5,0.5,0.1,0.1,
British Virgin Islands,252.7,312.9,60.2,0.1,0.1,38985.0
Brunei,-111.6,127.2,238.8,0.47,0.23,458949.0
Burkina Faso,49.8,54.4,4.5,0.1,0.1,23025776.0
Burma,-579.3,77.2,656.5,0.88,0.44,
Burundi,2.9,6.6,3.7,0.1,0.1,13689450.0
Cabo Verde,7.8,12.2,4.5,0.1,0.1,522331.0
Cambodia,-12340.2,321.6,12661.8,0.97,0.49,17423880.0
Cameroon,-55.7,193.1,248.8,0.22,0.11,28372687.0
Canada,-63335.8,349359.9,412695.7,0.15,0.1,40097761.0
Cayman Islands,1237.1,1286.5,49.4,0.1,0.1,73038.0
Central African Republic,33.6,35.1,1.4,0.1,0.1,5152421.0
Chad,-20.9,59.9,80.8,0.26,0.13,19319064.0
Chile,1698.3,18167.8,16469.5,0.1,0.1,19658835.0
China,-295401.6,143545.7,438947.4,0.67,0.34,1410710000.0
Christmas Island,0.4,2.1,1.7,0.1,0.1,
Cocos Keeling Islands,1.5,2.6,1.1,0.1,0.1,
Colombia,1347.3,19037.6,17690.3,0.1,0.1,52321152.0
Comoros,2.9,4.7,1.8,0.1,0.1,850387.0
Congo Brazzaville,196.9,237.1,40.2,0.1,0.1,
Congo Kinshasa,-69.8,253.3,323.1,0.22,0.11,
Cook Islands,6.0,6.9,0.9,0.1,0.1,
Costa Rica,-1958.1,9676.8,11634.9,0.17,0.1,5105525.0
Cote dIvoire,-418.1,596.6,1014.7,0.41,0.21,31165654.0
